Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
AGNCP,AGNC Investment Corp.,22.71,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agncp
AGO,Assured Guaranty Ltd.,21.4,$1.79B,2004,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/ago
AGO^B,Assured Guaranty Ltd.,26.72,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ago^b
AGO^E,Assured Guaranty Ltd.,26.11,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ago^e
AGO^F,Assured Guaranty Ltd.,25.53,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ago^f
AGR,"Avangrid, Inc.",48.44,$14.97B,2015,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/agr
AGRO,Adecoagro S.A.,5.08,$598.58M,2011,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/agro
AGRX,"Agile Therapeutics, Inc.",3.04,$265.38M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agrx
AGS,"PlayAGS, Inc.",3.97,$141.4M,2018,Consumer Durables,Miscellaneous manufacturing industries,https://old.nasdaq.com/symbol/ags
AGTC,Applied Genetic Technologies Corporation,5.15,$132.69M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/agtc
AGX,"Argan, Inc.",43.52,$681.09M,n/a,Basic Industries,Engineering & Construction,https://old.nasdaq.com/symbol/agx
AGYS,"Agilysys, Inc.",25.69,$606.01M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/agys
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,47.135,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/agzd
AHC,A.H. Belo Corporation,1.56,$37.25M,n/a,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/ahc
AHCO,AdaptHealth Corp. ,21.12,$1.78B,2018,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/ahco
AHH,"Armada Hoffler Properties, Inc.",10.35,$811.96M,2013,Finance,Real Estate,https://old.nasdaq.com/symbol/ahh
AHH^A,"Armada Hoffler Properties, Inc.",23.71,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ahh^a
AHI,"Avadim Health, Inc.",n/a,n/a,n/a,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/ahi
AHL^C,Aspen Insurance Holdings Limited,25.26,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ahl^c
AHL^D,Aspen Insurance Holdings Limited,24.95,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ahl^d
AHL^E,Aspen Insurance Holdings Limited,24.7,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ahl^e
AHPI,"Allied Healthcare Products, Inc.",5.76,$23.12M,1992,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/ahpi
AHT,Ashford Hospitality Trust Inc,3,$31.43M,2003,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aht
AHT^D,Ashford Hospitality Trust Inc,5.055,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/aht^d
AHT^F,Ashford Hospitality Trust Inc,4.46,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/aht^f
AHT^G,Ashford Hospitality Trust Inc,4.6,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/aht^g
AHT^H,Ashford Hospitality Trust Inc,4.25,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/aht^h
AHT^I,Ashford Hospitality Trust Inc,4.3,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/aht^i
AI,Arlington Asset Investment Corp,2.75,$96.3M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ai
AI^B,Arlington Asset Investment Corp,18.31,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ai^b
AI^C,Arlington Asset Investment Corp,19.1901,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ai^c
AIA,iShares Asia 50 ETF,73.14,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/aia
AIC,Arlington Asset Investment Corp,23.4,n/a,2015,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aic
